,reward per episode
209,-5517.061104905904
210,-4768.634377675279
211,-4443.159885797304
212,-5178.767783285376
213,-4773.908134835457
214,-6879.127442947068
215,-6235.6618822401815
216,-8046.76137187968
217,-4455.571072965075
218,-5649.786506490016
219,-6788.4909485523485
220,-4790.469109401088
221,-6791.555445208477
222,-4810.287118327876
223,-5511.491385056989
224,-4525.266739794187
225,-7014.6757997038185
226,-5975.3453249923605
227,-5220.10857990899
228,-5174.209957971339
229,-4857.203973301099
230,-7484.735505517596
231,-4605.899280610727
232,-4673.314497959969
233,-7289.547241048478
234,-6481.6275809800145
235,-4788.447998615102
236,-4884.613761975497
237,-7523.503396057008
238,-7114.622737467784
239,-4542.580888292905
240,-4502.79898554518
241,-5139.172347230905
242,-8586.468834406696
243,-4535.7061620863815
244,-4774.118386407007
245,-5732.40937396672
246,-7823.065464173987
247,-6647.844206844171
248,-5780.1568502704185
249,-4656.074958739264
250,-7396.565038151525
251,-4187.610652153714
252,-4968.94876862933
253,-6589.817919849306
254,-7702.930662896383
255,-7280.499527621304
256,-5548.945225836015
257,-5570.225482645632
258,-5749.471333108999
259,-7682.914013891845
260,-4616.060179254984
261,-5873.203342133402
262,-6492.484029119729
263,-5235.980183340516
264,-8258.308771380878
265,-6182.342871196173
266,-5393.746532840025
267,-4632.982613830428
268,-7324.890226871615
269,-5082.678033760612
270,-5034.212153309974
271,-5636.051378206669
272,-4552.024737792755
273,-7839.99328784679
274,-5223.472131119455
275,-5095.280832288851
276,-6593.0799942080375
277,-4686.864395499828
278,-5028.42153461356
279,-6620.565726143843
280,-6859.84044389851
281,-4948.154625168223
282,-4659.19009871973
283,-5167.7212613562615
284,-5160.48043486671
285,-7338.629939823292
286,-4974.470116114758
287,-4999.59210511281
288,-4183.970132665477
289,-4767.586059280645
290,-7469.055942962489
291,-5367.010590200566
292,-4709.9391003250485
293,-5757.89210441948
294,-5277.927352800233
295,-5812.565569738239
296,-7184.060795013016
297,-6651.184836651463
298,-5714.060567686477
299,-4706.825781556267
300,-4838.194349474872
301,-5025.001857761266
302,-4244.692489580079
303,-4540.88532334428
304,-6710.882957443763
305,-4484.187989067914
306,-6621.117157282842
307,-6068.267717812742
308,-4470.947136081142
309,-5356.736428118153
310,-7618.876212206872
311,-5535.2015885298415
312,-4807.903095147918
313,-5662.300984729783
314,-4811.908462351608
315,-5792.371587851959
316,-5986.153534843469
317,-4344.204928054423
318,-4592.08250977111
319,-4781.8650228644665
320,-4459.990829183663
321,-7980.6899105425255
322,-4868.254469737724
323,-7861.95459012811
324,-4796.530638780745
325,-4827.356743657224
326,-7337.933259726612
327,-4639.313970594871
328,-6939.600905856311
329,-5551.75542344126
330,-4393.940000567152
331,-4263.012949377114
332,-5590.019916116121
333,-7289.484312022439
334,-5505.32931323704
335,-5044.609805075805
336,-4425.937495846158
337,-4787.362345226797
338,-5635.351325797808
339,-7214.03851916844
340,-7886.115346700967
341,-4815.831539330277
342,-5874.196929992189
343,-6098.390442134413
344,-4834.380371052039
345,-6288.09601530487
346,-4607.110215823545
347,-6423.958125104766
348,-7523.768116803705
349,-4899.553910550641
350,-4650.137198730932
351,-4372.401424831779
352,-6101.512898826602
353,-4997.751427065282
354,-4985.091800611895
355,-4459.320482927647
356,-4465.4363020168685
357,-4490.739970499058
358,-4433.2831578916175
359,-4499.531182665714
360,-6080.683538669794
361,-4610.582211537441
362,-4842.197402415192
363,-4590.144234918625
364,-4469.276990477833
365,-4884.976054458962
366,-5110.650627063083
367,-5867.513373162239
368,-4444.910799234359
369,-4654.70088381221
370,-4808.574216878211
371,-4497.4761426783825
372,-6184.354814354727
373,-5594.055862813657
374,-5862.214846356311
375,-4455.928806960935
376,-4491.589848639642
377,-5277.466698526019
378,-4712.7475942257215
379,-7710.744614647652
380,-6868.913964052159
381,-4807.596924275005
382,-5995.87476768821
383,-6787.594662105405
384,-5750.889364657015
385,-5912.531677461171
386,-5160.479531979244
387,-5131.612151859845
388,-4717.943687031121
