,rewards
828,319.0
829,105.0
830,330.0
831,198.0
832,229.0
833,332.0
834,167.0
835,230.0
836,95.0
837,145.0
838,302.0
839,86.0
840,160.0
841,278.0
842,211.0
843,150.0
844,49.0
845,197.0
846,113.0
847,128.0
848,116.0
849,214.0
850,219.0
851,156.0
852,155.0
853,43.0
854,166.0
855,119.0
856,91.0
857,150.0
858,192.0
859,152.0
860,212.0
861,141.0
862,381.0
863,195.0
864,267.0
865,151.0
866,197.0
867,373.0
868,257.0
869,341.0
870,273.0
871,249.0
872,258.0
873,400.0
874,311.0
875,281.0
876,196.0
877,209.0
878,315.0
879,303.0
880,345.0
881,256.0
882,426.0
883,444.0
884,239.0
885,377.0
886,287.0
887,244.0
888,693.0
889,334.0
890,229.0
891,347.0
892,65.0
893,317.0
894,276.0
895,523.0
896,196.0
897,88.0
898,203.0
899,236.0
900,375.0
901,155.0
902,99.0
903,114.0
904,137.0
905,195.0
906,100.0
907,127.0
908,79.0
909,270.0
910,139.0
911,70.0
912,164.0
913,52.0
914,44.0
915,41.0
916,107.0
917,217.0
918,181.0
919,83.0
920,233.0
921,126.0
922,162.0
923,179.0
924,288.0
925,33.0
926,235.0
927,75.0
928,190.0
929,162.0
930,129.0
931,332.0
932,188.0
933,195.0
934,265.0
935,122.0
936,156.0
937,30.0
938,68.0
939,225.0
940,154.0
941,287.0
942,156.0
943,482.0
944,325.0
945,208.0
946,161.0
947,440.0
948,220.0
949,219.0
950,179.0
951,466.0
952,97.0
953,193.0
954,187.0
955,386.0
956,1937.0
957,478.0
958,217.0
959,297.0
960,425.0
961,240.0
962,426.0
963,564.0
964,304.0
965,151.0
966,190.0
967,430.0
968,124.0
969,385.0
970,360.0
971,140.0
972,206.0
973,391.0
974,139.0
975,167.0
976,157.0
977,36.0
978,170.0
979,66.0
980,71.0
981,277.0
982,36.0
983,189.0
984,182.0
985,240.0
986,154.0
987,254.0
988,80.0
989,136.0
990,221.0
991,169.0
992,211.0
993,176.0
994,279.0
995,206.0
996,186.0
997,178.0
998,304.0
999,394.0
